VT WKID	Name	WKT	Accuracy (m)	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  5400	Baltic_To_Caspian_1	VERTTRAN["Baltic_To_Caspian_1",VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Caspian",VDATUM["Caspian_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-28.0]]	0	Asia - FSU - Caspian Sea	37.35	46.95	46.97	53.93
  5437	Baltic_To_EVRS_2000_2	VERTTRAN["Baltic_To_EVRS_2000_2",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.102],PARAMETER["Longitude_Of_Evaluation",24.01666666666667],PARAMETER["Latitude_Of_Evaluation",55.3],PARAMETER["Inclination_North",0.0],PARAMETER["Inclination_East",0.002]]	0.1	Lithuania - onshore	53.89	20.86	56.45	26.82
  5435	Baltic_To_EVRS_2000_3	VERTTRAN["Baltic_To_EVRS_2000_3",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.122],PARAMETER["Longitude_Of_Evaluation",19.25],PARAMETER["Latitude_Of_Evaluation",48.63333333333333],PARAMETER["Inclination_North",0.02],PARAMETER["Inclination_East",0.0]]	0.1	Slovakia	47.73	16.84	49.61	22.56
  5452	Belfast_Height_To_Malin_Head_Height_1	VERTTRAN["Belfast_Height_To_Malin_Head_Height_1",VERTCS["Belfast",VDATUM["Belfast"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Malin_Head",VDATUM["Malin_Head"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-0.037]]	0.01	UK - Northern Ireland - onshore	53.96	-8.18	55.36	-5.34
  5427	Cascais_To_EVRS_2000_1	VERTTRAN["Cascais_To_EVRS_2000_1",VERTCS["Cascais",VDATUM["Cascais"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-0.315]]	0.1	Portugal - mainland - onshore	36.95	-9.560000000000001	42.16	-6.19
  5206	Constanta_Height_To_EVRF_2007_Height_1	VERTTRAN["Constanta_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Constanta",VDATUM["Constanta"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.062],PARAMETER["Longitude_Of_Evaluation",24.81666666666667],PARAMETER["Latitude_Of_Evaluation",46.01666666666667],PARAMETER["Inclination_North",-0.005],PARAMETER["Inclination_East",0.008]]	0.1	Romania - onshore	43.62	20.26	48.27	29.74
  5205	Constanta_Height_To_EVRS_2000_Height_1	VERTTRAN["Constanta_Height_To_EVRS_2000_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Constanta",VDATUM["Constanta"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.028],PARAMETER["Longitude_Of_Evaluation",24.81666666666667],PARAMETER["Latitude_Of_Evaluation",46.01666666666667],PARAMETER["Inclination_North",0.002],PARAMETER["Inclination_East",0.002]]	0.1	Romania - onshore	43.62	20.26	48.27	29.74
  7838	DHHN2016_(height)_To_EVRF_2007_(height)_1	VERTTRAN["DHHN2016_(height)_To_EVRF_2007_(height)_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["DHHN2016_(height)",VDATUM["Deutsches_Haupthoehennetz_2016"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.014],PARAMETER["Longitude_Of_Evaluation",10.21666666666667],PARAMETER["Latitude_Of_Evaluation",51.05],PARAMETER["Inclination_North",-0.01],PARAMETER["Inclination_East",0.0]]	0.1	Germany - onshore	47.27	5.86	55.09	15.04
  5212	DHHN85_Height_To_EVRF_2007_Height_1	VERTTRAN["DHHN85_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["DHHN85",VDATUM["Deutches_Haupthoehennetz_1985"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.017],PARAMETER["Longitude_Of_Evaluation",8.666666666666666],PARAMETER["Latitude_Of_Evaluation",51.05],PARAMETER["Inclination_North",-0.011],PARAMETER["Inclination_East",0.005]]	0.1	Germany - West Germany all states	47.27	5.87	55.09	13.84
  5421	DHHN85_To_EVRS_2000_1	VERTTRAN["DHHN85_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["DHHN85",VDATUM["Deutches_Haupthoehennetz_1985"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.017],PARAMETER["Longitude_Of_Evaluation",8.666666666666666],PARAMETER["Latitude_Of_Evaluation",51.05],PARAMETER["Inclination_North",-0.002],PARAMETER["Inclination_East",0.003]]	0.1	Germany - West Germany all states	47.27	5.87	55.09	13.84
